token_context,word_context,seg_context,sent_cotext,label
"['Thetextconcernseventshappeningintime.', 'ulasmaytemporaleventcompo-nents.', 'anyformalinterpretationoftimewilluitiveone.', 'nowtopresentaformalsemanticshere.', 'Thereadermayconsultrecentpapersonthissubject(e.g.MoensandSteedman1987; #TAUTHOR_TAGtoseewhataformalinterpretationofeventsintimemightlooklike.', 'sentencescaneventsencesotationoperator', '']","['Thetextconcernseventshappeningintime.', 'formulasmaytemporaleventcompo-nents.', 'anyformalinterpretationoftimewillintuitiveone.', 'nowtopresentaformalsemanticshere.', 'Thereadermayconsultrecentpapersonthissubject(e.g.MoensandSteedman1987; #TAUTHOR_TAGtoseewhataformalinterpretationofeventsintimemightlooklike.', 'sentencescaneventsquotationoperator;', '']","['Thetextconcernseventshappeningintime.', 'ulasmayhavetemporaleventcompo-nents.', 'anyformalinterpretationoftimewillagreetheintuitiveone.', 'nowtopresentaformalsemanticshere.', 'Thereadermayconsultrecentpapersonthissubject(e.g.MoensandSteedman1987; #TAUTHOR_TAGtoseewhataformalinterpretationofeventsintimemightlooklike.', 'sentencescanreferevents', '']","['Thetextconcernseventshappeningintime.', '', 'Weassumethatanyformalinterpretationoftimewillagreewiththeintuitiveone.', 'Soitisnotnecessarynowtopresentaformalsemanticshere.', 'Thereadermayconsultrecentpapersonthissubject(e.g.MoensandSteedman1987; #TAUTHOR_TAGtoseewhataformalinterpretationofeventsintimemightlooklike.', '', '']",0
"['ThetextualistapproachtoparagraphanalysisisexemplifiedbyE.J.thers.performscriptive', '', '""episodesparagraph', 'Accordingto #TAUTHOR_TAG,paragraphsaremadeupofsegments,whichinturnaremadeupofsentencesorclauses,whichinturnaremadeupofphrases.', 'Paragraphsthereforegivehierarchicalstructuretosentences.Hindsdiscussesthreemajortypesofparagraphs,andtheircorrespondingsegmenttypes.', 'ural(how-to),ex-positoryessay),andarr', '', 'ofclausesand']","['ThetextualistapproachtoparagraphanalysisisexemplifiedbyE.J.Crothers.performsdescriptive', '', '""episodes,""', 'Accordingto #TAUTHOR_TAG,paragraphsaremadeupofsegments,whichinturnaremadeupofsentencesorclauses,whichinturnaremadeupofphrases.', 'Paragraphsthereforegivehierarchicalstructuretosentences.Hindsdiscussesthreemajortypesofparagraphs,andtheircorrespondingsegmenttypes.', '(how-to),ex-pository(essay),and', '', 'ofclausesand']","['ThetextualistapproachtoparagraphanalysisisexemplifiedbyE.J.Crothers.heperforms', '', '""episodesparagraph', 'Accordingto #TAUTHOR_TAG,paragraphsaremadeupofsegments,whichinturnaremadeupofsentencesorclauses,whichinturnaremadeupofphrases.', 'Paragraphsthereforegivehierarchicalstructuretosentences.Hindsdiscussesthreemajortypesofparagraphs,andtheircorrespondingsegmenttypes.', 'ural(how-to),ex-positoryessay),andarr', '', 'ofclausesand']","['ThetextualistapproachtoparagraphanalysisisexemplifiedbyE.J.Crothers.Hisworkistaxonomic,inthatheperformsdetaileddescriptiveanalysesofparagraphs.', '', '', 'Accordingto #TAUTHOR_TAG,paragraphsaremadeupofsegments,whichinturnaremadeupofsentencesorclauses,whichinturnaremadeupofphrases.', 'Paragraphsthereforegivehierarchicalstructuretosentences.Hindsdiscussesthreemajortypesofparagraphs,andtheircorrespondingsegmenttypes.', '', '', '']",0
"['metarass', '', '', ""thenotionofR+M-abductionisspirituallyrelatedtothe``abductiveinference''of #AUTHOR_TAG,the``diagnosisfromfirstprinciples''of #TAUTHOR_TAG,``explainability''of #AUTHOR_TAG,andthesubsetprincipleof #AUTHOR_TAG."", 'orthethescopeofanargumentforthecorrespondenceofsandmodels.', '']","['metarules', '', '', ""thenotionofR+M-abductionisspirituallyrelatedtothe``abductiveinference''of #AUTHOR_TAG,the``diagnosisfromfirstprinciples''of #TAUTHOR_TAG,``explainability''of #AUTHOR_TAG,andthesubsetprincipleof #AUTHOR_TAG."", 'orthethescopeofanargumentforthecorrespondenceofparagraphsandmodels.', '']","['metar', '', '', ""thenotionofR+M-abductionisspirituallyrelatedtothe``abductiveinference''of #AUTHOR_TAG,the``diagnosisfromfirstprinciples''of #TAUTHOR_TAG,``explainability''of #AUTHOR_TAG,andthesubsetprincipleof #AUTHOR_TAG."", 'orthescopeofanargumentforthecorrespondenceofsandmodels.', '']","['', '', '', ""Similarly,thenotionofR+M-abductionisspirituallyrelatedtothe``abductiveinference''of #AUTHOR_TAG,the``diagnosisfromfirstprinciples''of #TAUTHOR_TAG,``explainability''of #AUTHOR_TAG,andthesubsetprincipleof #AUTHOR_TAG."", '', '']",1
"['inthispaperwetakemodusponensasthemainruleofinference,ingeneralonecanconsiderdeductiveclosureswithrespecttoweaker,nonstandardlogics,(cfXXXLevesque1984; #TAUTHOR_TAG;Patel-Schneider1985).', 'Levesque1984;F1987;Patel-Schneider1985).', '']","['inthispaperwetakemodusponensasthemainruleofinference,ingeneralonecanconsiderdeductiveclosureswithrespecttoweaker,nonstandardlogics,(cfXXXLevesque1984; #TAUTHOR_TAG;Patel-Schneider1985).', 'Levesque1984;Frisch1987;Patel-Schneider1985).', '']","['inthispaperwetakemodusponensasthemainruleofinference,ingeneralonecanconsiderdeductiveclosureswithrespecttoweaker,nonstandardlogics,(cfXXXLevesque1984; #TAUTHOR_TAG;Patel-Schneider1985).', 'Levesque1984;F1987;Patel-Schneider1985).', '']","['Althoughinthispaperwetakemodusponensasthemainruleofinference,ingeneralonecanconsiderdeductiveclosureswithrespecttoweaker,nonstandardlogics,(cfXXXLevesque1984; #TAUTHOR_TAG;Patel-Schneider1985).', 'Levesque1984;Frisch1987;Patel-Schneider1985).', '']",1
"['thatformulasareexpressedacertainequalitytheextensionLofLisgoingtobeusedonlyinSection5fordealingwithnounphrasereferences.', ""Thismeansthatnaturallanguageexpressionssuchas``AisB,''``AisthesameasB,''etc.arenotdirectlyrepresentedbylogicalequality;similarly,``not''isoftennottreatedaslogicalnegation;cfXXX #TAUTHOR_TAG."", ' #AUTHOR_TAG.']","['thatformulasareexpressedacertainequality;theextensionL(=)ofLisgoingtobeusedonlyinSection5fordealingwithnounphrasereferences.', ""Thismeansthatnaturallanguageexpressionssuchas``AisB,''``AisthesameasB,''etc.arenotdirectlyrepresentedbylogicalequality;similarly,``not''isoftennottreatedaslogicalnegation;cfXXX #TAUTHOR_TAG."", ' #AUTHOR_TAG.']","['thatformulasareexpressedacertainequalitytheextensionLofLisgoingtobeusedonlyinSection5fordealingwithnounphrasereferences.', ""Thismeansthatnaturallanguageexpressionssuchas``AisB,''``AisthesameasB,''etc.arenotdirectlyrepresentedbylogicalequality;similarly,``not''isoftennottreatedaslogicalnegation;cfXXX #TAUTHOR_TAG."", ' #AUTHOR_TAG.']","['Unlessexplicitlystatedotherwise,weassumethatformulasareexpressedinacertain(formal)languageLwithoutequality;theextensionL(=)ofLisgoingtobeusedonlyinSection5fordealingwithnounphrasereferences.', ""Thismeansthatnaturallanguageexpressionssuchas``AisB,''``AisthesameasB,''etc.arenotdirectlyrepresentedbylogicalequality;similarly,``not''isoftennottreatedaslogicalnegation;cfXXX #TAUTHOR_TAG."", ' #AUTHOR_TAG.']",1
"['NoteThenotionsofstrongprovabilityandstrongR+M-abductioncanbein-troducedbyreplacing""thereexists""by""all""intheabovedefinitions(cf. #TAUTHOR_TAGb).', 'noneedfor""strong""notionsinthispaper.', '']","['Note:ThenotionsofstrongprovabilityandstrongR+M-abductioncanbein-troducedbyreplacing""thereexists""by""all""intheabovedefinitions(cf. #TAUTHOR_TAGb).', 'noneedfor""strong""notionsinthispaper.', '']","['NoteThenotionsofstrongprovabilityandstrongR+M-abductioncanbein-troducedbyreplacing""thereexists""by""all""intheabovedefinitions(cf. #TAUTHOR_TAGb).', 'noneedfor""strong""notionsinthispaper.', '']","['Note:ThenotionsofstrongprovabilityandstrongR+M-abductioncanbein-troducedbyreplacing""thereexists""by""all""intheabovedefinitions(cf. #TAUTHOR_TAGb).', 'Wewillhave,however,noneedfor""strong""notionsinthispaper.', '']",1
"['Addingselectionalrestrictions(semanticfeatureinformation, #TAUTHOR_TAGdoesnotsolvetheproblem,becauseisolatedfeaturesofferonlypartofthebackgroundknowledgenecessaryforreferencedisambiguation.', '']","['Addingselectionalrestrictions(semanticfeatureinformation, #TAUTHOR_TAGdoesnotsolvetheproblem,becauseisolatedfeaturesofferonlypartofthebackgroundknowledgenecessaryforreferencedisambiguation.', '']","['Addingselectionalrestrictions(semanticfeatureinformation, #TAUTHOR_TAGdoesnotsolvetheproblem,becauseisolatedfeaturesofferonlypartofthebackgroundknowledgenecessaryforreferencedisambiguation.', '']","['Addingselectionalrestrictions(semanticfeatureinformation, #TAUTHOR_TAGdoesnotsolvetheproblem,becauseisolatedfeaturesofferonlypartofthebackgroundknowledgenecessaryforreferencedisambiguation.', '']",0
"['Thetextconcernseventshappeningintime.', 'tempeventcomponents.', 'thatanyformalinterpretationoftimewillagreewiththeintuitiveone.', 'isnotnecessarynowtopresentaformalsemanticshere.', 'Thereadermayconsultrecentpapersonthissubject(e.g. #TAUTHOR_TAG;Webber1987)toseewhataformalinterpretationofeventsintimemightlooklike.', 'sent', '']","['Thetextconcernseventshappeningintime.', 'temporaleventcomponents.', 'thatanyformalinterpretationoftimewillagreewiththeintuitiveone.', 'isnotnecessarynowtopresentaformalsemanticshere.', 'Thereadermayconsultrecentpapersonthissubject(e.g. #TAUTHOR_TAG;Webber1987)toseewhataformalinterpretationofeventsintimemightlooklike.', 'sentences', '']","['Thetextconcernseventshappeningintime.', 'tempeventcomponents.', 'thatanyformalinterpretationoftimewillagreewiththeintuitiveone.', 'itisnotnecessarynowtopresentaformalsemanticshere.', 'Thereadermayconsultrecentpapersonthissubject(e.g. #TAUTHOR_TAG;Webber1987)toseewhataformalinterpretationofeventsintimemightlooklike.', 'sent', '']","['Thetextconcernseventshappeningintime.', '', 'Weassumethatanyformalinterpretationoftimewillagreewiththeintuitiveone.', 'Soitisnotnecessarynowtopresentaformalsemanticshere.', 'Thereadermayconsultrecentpapersonthissubject(e.g. #TAUTHOR_TAG;Webber1987)toseewhataformalinterpretationofeventsintimemightlooklike.', '', '']",0
"['Sinceitisthe""highest""path,fintisthemostplausible(relativetoR)interpretationofthewordsthatappearinthesentence.', 'Becauseitisalsoconsistent,itwillbechosenasabestinterpretationofS,(cfXXX #TAUTHOR_TAGa,1987b).', 'Zadrozny1987a #AUTHOR_TAGb.', '', 'paragraphwouldtoawithin']","['Sinceitisthe""highest""path,fintisthemostplausible(relativetoR)interpretationofthewordsthatappearinthesentence.', 'Becauseitisalsoconsistent,itwillbechosenasabestinterpretationofS,(cfXXX #TAUTHOR_TAGa,1987b).', 'Zadrozny1987a #AUTHOR_TAGb.', '', 'paragraphwouldtoawithin']","['Sinceitisthe""highest""path,fintisthemostplausible(relativetoR)interpretationofthewordsthatappearinthesentence.', 'Becauseitisalsoconsistent,itwillbechosenasabestinterpretationofS,(cfXXX #TAUTHOR_TAGa,1987b).', 'Zadrozny1987a #AUTHOR_TAGb.', '', 'wouldleadtowithin']","['Sinceitisthe""highest""path,fintisthemostplausible(relativetoR)interpretationofthewordsthatappearinthesentence.', 'Becauseitisalsoconsistent,itwillbechosenasabestinterpretationofS,(cfXXX #TAUTHOR_TAGa,1987b).', 'Zadrozny1987a #AUTHOR_TAGb.', '', '']",0
"['Althoughthereareotherdiscussionsoftheparagraphasacentralelementofdiscourse(e.g.Chafe1979,HallidayandHasan1976, #TAUTHOR_TAG,Haberlandtetal.1980),allofthemshareacertainlimitationintheirformaltechniquesforanalyzingparagraphstructure.', 'Disclingshowationalgrammarof', '']","['Althoughthereareotherdiscussionsoftheparagraphasacentralelementofdiscourse(e.g.Chafe1979,HallidayandHasan1976, #TAUTHOR_TAG,Haberlandtetal.1980),allofthemshareacertainlimitationintheirformaltechniquesforanalyzingparagraphstructure.', 'Discourseshowcomputationalgrammarof', '']","['Althoughthereareotherdiscussionsoftheparagraphasacentralelementofdiscourse(e.g.Chafe1979,HallidayandHasan1976, #TAUTHOR_TAG,Haberlandtetal.1980),allofthemshareacertainlimitationintheirformaltechniquesforanalyzingparagraphstructure.', 'Disclingistsshowacomputationalgrammarof', '']","['Althoughthereareotherdiscussionsoftheparagraphasacentralelementofdiscourse(e.g.Chafe1979,HallidayandHasan1976, #TAUTHOR_TAG,Haberlandtetal.1980),allofthemshareacertainlimitationintheirformaltechniquesforanalyzingparagraphstructure.', '', '']",1
"['', '', '', '', '', 'itisnotveryrad;itispossiblewithinafinitaryframeworktodevelopthatpartofmathematicsthatisusedorhaspotentialapplicationsinnaturalscience,suchasmathematicalanalysis(cfXXX #TAUTHOR_TAG.', 'Mycielski1981).']","['', '', '', '', '', 'itisnotveryradical;itispossiblewithinafinitaryframeworktodevelopthatpartofmathematicsthatisusedorhaspotentialapplicationsinnaturalscience,suchasmathematicalanalysis(cfXXX #TAUTHOR_TAG.', 'Mycielski1981).']","['', '', '', '', '', 'itisnotveryrad;itispossiblewithinafinitaryframeworktodevelopthatpartofmathematicsthatisusedorhaspotentialapplicationsinnaturalscience,suchasmathematicalanalysis(cfXXX #TAUTHOR_TAG.', 'Mycielski1981).']","['', '', '', '', '', 'Asalogicalpostulateitisnotveryradical;itispossiblewithinafinitaryframeworktodevelopthatpartofmathematicsthatisusedorhaspotentialapplicationsinnaturalscience,suchasmathematicalanalysis(cfXXX #TAUTHOR_TAG.', 'Mycielski1981).']",0
"['Wehaveshownelsewhere #TAUTHOR_TAG;Zadrozny1987a,1987b)thatnaturallanguageprograms,suchason-linegrammarsanddictionaries,canbeusedasreferentiallevelsforcommonsensereasoning--forexample,todisambiguatePPattachment.', 'Thismeansthatinformationcontainedingrammarsanddictionariescanbeusedtoconstrainpossibleinterpretationsofthelogicalpredicatesofanobjecttheory.']","['Wehaveshownelsewhere #TAUTHOR_TAG;Zadrozny1987a,1987b)thatnaturallanguageprograms,suchason-linegrammarsanddictionaries,canbeusedasreferentiallevelsforcommonsensereasoning--forexample,todisambiguatePPattachment.', 'Thismeansthatinformationcontainedingrammarsanddictionariescanbeusedtoconstrainpossibleinterpretationsofthelogicalpredicatesofanobject-leveltheory.']","['Wehaveshownelsewhere #TAUTHOR_TAG;Zadrozny1987a,1987b)thatnaturallanguageprograms,suchason-linegrammarsanddictionaries,canbeusedasreferentiallevelsforcommonsensereasoning--forexample,todisambiguatePPattachment.', 'Thismeansthatinformationcontainedingrammarsanddictionariescanbeusedtoconstrainpossibleinterpretationsofthelogicalpredicatesofanobject-leveltheory.']","['Wehaveshownelsewhere #TAUTHOR_TAG;Zadrozny1987a,1987b)thatnaturallanguageprograms,suchason-linegrammarsanddictionaries,canbeusedasreferentiallevelsforcommonsensereasoning--forexample,todisambiguatePPattachment.', 'Thismeansthatinformationcontainedingrammarsanddictionariescanbeusedtoconstrainpossibleinterpretationsofthelogicalpredicatesofanobject-leveltheory.']",2
"['Thenecessityofthiskindofmergingofargumentshasbeenrecognizedbefore: #TAUTHOR_TAGcallitabductiveunification/matching, #AUTHOR_TAG,1979)referstosuchoperationsusingthetermsknittingorpettyconversationalimplicature.']","['Thenecessityofthiskindofmergingofargumentshasbeenrecognizedbefore: #TAUTHOR_TAGcallitabductiveunification/matching, #AUTHOR_TAG,1979)referstosuchoperationsusingthetermsknittingorpettyconversationalimplicature.']","['Thenecessityofthiskindofmergingofargumentshasbeenrecognizedbefore: #TAUTHOR_TAGcallitabductiveunification/matching, #AUTHOR_TAG,1979)referstosuchoperationsusingthetermsknittingorpettyconversationalimplicature.']","['Thenecessityofthiskindofmergingofargumentshasbeenrecognizedbefore: #TAUTHOR_TAGcallitabductiveunification/matching, #AUTHOR_TAG,1979)referstosuchoperationsusingthetermsknittingorpettyconversationalimplicature.']",0
"['atranslationofthesurfaceformsofsentencesintoalogicalformalism', '', '', ""discourserepresentationstructures(DRS's)of #AUTHOR_TAG,whichhavebeenusedtotranslateasubsetofEnglishintologicalformulas,tomodeltext(identifiedwithalistofsentences),toanalyzefragmentofEnglish,andtodealwithanaphora."", 'Thelogicalnotationof #TAUTHOR_TAGismoresophisticated,andmaybeconsideredanotherpossibility.', '', 'efficient', '', '', '', '']","['atranslationofthesurfaceformsofsentencesintoalogicalformalism', '', '', ""discourserepresentationstructures(DRS's)of #AUTHOR_TAG,whichhavebeenusedtotranslateasubsetofEnglishintologicalformulas,tomodeltext(identifiedwithalistofsentences),toanalyzefragmentofEnglish,andtodealwithanaphora."", 'Thelogicalnotationof #TAUTHOR_TAGismoresophisticated,andmaybeconsideredanotherpossibility.', '', 'efficient', '', '', '', '']","['atranslationofthesurfaceformsofsentencesintoalogicalformalism', '', '', ""thediscourserepresentationstructures(DRS's)of #AUTHOR_TAG,whichhavebeenusedtotranslateasubsetofEnglishintologicalformulas,tomodeltext(identifiedwithalistofsentences),toanalyzeafragmentofEnglish,andtodealwithanaphora."", 'Thelogicalnotationof #TAUTHOR_TAGismoresophisticated,andmaybeconsideredanotherpossibility.', '', 'efficient', '', '', '', '']","['Weassumeherethatatranslationofthesurfaceformsofsentencesintoalogicalformalismispossible.', '', '', ""But,obviously,thereareotherpossibilities--forinstance,thediscourserepresentationstructures(DRS's)of #AUTHOR_TAG,whichhavebeenusedtotranslateasubsetofEnglishintologicalformulas,tomodeltext(identifiedwithalistofsentences),toanalyzeafragmentofEnglish,andtodealwithanaphora."", 'Thelogicalnotationof #TAUTHOR_TAGismoresophisticated,andmaybeconsideredanotherpossibility.', '', '', '', '', '', '']",1
"['', '', '', 'Theofcontrolarenotsoimportantforusatthispoint;werestrictourselvestodescribingthelogic.', 'ThisPrincipleofFinitismisalsoassumedbyJohnson- #AUTHOR_TAG, #TAUTHOR_TAG, #AUTHOR_TAG,andimplicitlyorexplicitlybyalmostallresearchersincomputationallinguistics.', 'veryradical', '']","['', '', '', 'Theofcontrolarenotsoimportantforusatthispoint;werestrictourselvestodescribingthelogic.', 'ThisPrincipleofFinitismisalsoassumedbyJohnson- #AUTHOR_TAG, #TAUTHOR_TAG, #AUTHOR_TAG,andimplicitlyorexplicitlybyalmostallresearchersincomputationallinguistics.', 'veryradical;', '']","['', '', '', 'Theissuesofcontrolarenotsoimportantforusatthispoint;werestrictourselvestodescribingthelogic.', 'ThisPrincipleofFinitismisalsoassumedbyJohnson- #AUTHOR_TAG, #TAUTHOR_TAG, #AUTHOR_TAG,andimplicitlyorexplicitlybyalmostallresearchersincomputationallinguistics.', 'radical', '']","['', '', '', 'Theissuesofcontrolarenotsoimportantforusatthispoint;werestrictourselvestodescribingthelogic.', 'ThisPrincipleofFinitismisalsoassumedbyJohnson- #AUTHOR_TAG, #TAUTHOR_TAG, #AUTHOR_TAG,andimplicitlyorexplicitlybyalmostallresearchersincomputationallinguistics.', '', '']",1
"['ThetextualistapproachtoparagraphanalysisisexemplifiedbyE.J.Crothers.', 'Hisworkistaxonomic,inthatheperformsdetaileddescriptiveanalysesofparagraphs.', 'Helists,classifies,anddiscussesvarioustypesofinference,bywhichhemeans,generally,``thelinguistic-logicalnotionsofconsequentandpresupposition #TAUTHOR_TAG:112)havecollectedconvincingevidenceoftheexistenceoflanguagechunks--realstructures,notjustorthographicconventions--thataresmallerthanadiscourse,largerthanasentence,generallycomposedofsentences,andrecursiveinnature(likesentences).', '""episodesparagraph', '', '', '', '', '', '']","['ThetextualistapproachtoparagraphanalysisisexemplifiedbyE.J.Crothers.', 'Hisworkistaxonomic,inthatheperformsdetaileddescriptiveanalysesofparagraphs.', 'Helists,classifies,anddiscussesvarioustypesofinference,bywhichhemeans,generally,``thelinguistic-logicalnotionsofconsequentandpresupposition #TAUTHOR_TAG:112)havecollectedconvincingevidenceoftheexistenceoflanguagechunks--realstructures,notjustorthographicconventions--thataresmallerthanadiscourse,largerthanasentence,generallycomposedofsentences,andrecursiveinnature(likesentences).', '""episodes,""', '', '', '', '', '', '']","['ThetextualistapproachtoparagraphanalysisisexemplifiedbyE.J.Crothers.', 'Hisworkistaxonomic,inthatheperformsdetaileddescriptiveanalysesofparagraphs.', 'Helists,classifies,anddiscussesvarioustypesofinference,bywhichhemeans,generally,``thelinguistic-logicalnotionsofconsequentandpresupposition #TAUTHOR_TAG:112)havecollectedconvincingevidenceoftheexistenceoflanguagechunks--realstructures,notjustorthographicconventions--thataresmallerthanadiscourse,largerthanasentence,generallycomposedofsentences,andrecursiveinnature(likesentences).', '""episodesparagraph', '', '', '', '', '', '']","['ThetextualistapproachtoparagraphanalysisisexemplifiedbyE.J.Crothers.', 'Hisworkistaxonomic,inthatheperformsdetaileddescriptiveanalysesofparagraphs.', 'Helists,classifies,anddiscussesvarioustypesofinference,bywhichhemeans,generally,``thelinguistic-logicalnotionsofconsequentandpresupposition #TAUTHOR_TAG:112)havecollectedconvincingevidenceoftheexistenceoflanguagechunks--realstructures,notjustorthographicconventions--thataresmallerthanadiscourse,largerthanasentence,generallycomposedofsentences,andrecursiveinnature(likesentences).', '', '', '', '', '', '', '']",0
"['the""isgivenitsmeaningrelativetoourexperience', '', 'semmetaphorisgroundthismodel', 'beDeathisthe', '', '""grounding""theories.', 'However,itispossibletothinkaboutconstraininglinguisticorlogicalpredicatesbysimulatingphysicalexperiences(cfXXX #TAUTHOR_TAG.', 'Woods1987).']","['theisgivenitsmeaningrelativetoourexperience', '', 'semanticsmetaphorisgroundedthismodel.', '""Deathisthe', '', '""grounding""theories.', 'However,itispossibletothinkaboutconstraininglinguisticorlogicalpredicatesbysimulatingphysicalexperiences(cfXXX #TAUTHOR_TAG.', 'Woods1987).']","['isgivenitsmeaningrelativetoourexperience', '', 'shipmetaphorisgroundedthismodel.', 'beDeathisthemother', '', 'the""grounding""logicaltheories.', 'However,itispossibletothinkaboutconstraininglinguisticorlogicalpredicatesbysimulatingphysicalexperiences(cfXXX #TAUTHOR_TAG.', 'Woods1987).']","['', '', '', '', '', '', 'However,itispossibletothinkaboutconstraininglinguisticorlogicalpredicatesbysimulatingphysicalexperiences(cfXXX #TAUTHOR_TAG.', 'Woods1987).']",0
"['atranslationofthesurfaceformsofsentencesintoalogicalformalismis', '', '', '', '', '', "" #TAUTHOR_TAG,p.14)writes``itwouldbeperversenottotakeasaworkingassumptionthatlanguageisarelativelyefficientandaccurateencodingoftheinformationitconveys.''"", 'Thereforeaformalismofthekindheadvocateswouldprobablybemostsuitableforanimplementationofoursemantics.', 'Itwillalsobeamodelforoursimplifiedlogicalnotation(cf.', 'Section5).', '']","['atranslationofthesurfaceformsofsentencesintoalogicalformalismis', '', '', '', '', '', "" #TAUTHOR_TAG,p.14)writes``itwouldbeperversenottotakeasaworkingassumptionthatlanguageisarelativelyefficientandaccurateencodingoftheinformationitconveys.''"", 'Thereforeaformalismofthekindheadvocateswouldprobablybemostsuitableforanimplementationofoursemantics.', 'Itwillalsobeamodelforoursimplifiedlogicalnotation(cf.', 'Section5).', '']","['atranslationofthesurfaceformsofsentencesintoalogicalformalismis', '', '', '', '', '', "" #TAUTHOR_TAG,p.14)writes``itwouldbeperversenottotakeasaworkingassumptionthatlanguageisarelativelyefficientandaccurateencodingoftheinformationitconveys.''"", 'Thereforeaformalismofthekindheadvocateswouldprobablybemostsuitableforanimplementationofoursemantics.', 'Itwillalsobeamodelforoursimplifiedlogicalnotation(cf.', 'Section5).', '']","['Weassumeherethatatranslationofthesurfaceformsofsentencesintoalogicalformalismispossible.', '', '', '', '', '', "" #TAUTHOR_TAG,p.14)writes``itwouldbeperversenottotakeasaworkingassumptionthatlanguageisarelativelyefficientandaccurateencodingoftheinformationitconveys.''"", 'Thereforeaformalismofthekindheadvocateswouldprobablybemostsuitableforanimplementationofoursemantics.', 'Itwillalsobeamodelforoursimplifiedlogicalnotation(cf.', 'Section5).', '']",1
"['Anexampleofpsycholinguisticallyorientedresearchworkcanbefoundin #TAUTHOR_TAG.', 'Theseauthorstakethepositionthataparagraphisapsychologicallyrealunitofdiscourse,and,infact,aformalgrammaticalunit.', 'BondandHayesfoundthreemajorformaldevicesthatareused,byreaders,toidentifyaparagraph:)therepetitionofcontentwords(nouns,verbs,adjectives,adverbs);(2)pronounreference;and(3)paragraphlength,asdeterminedbyspatialand/orsentence-countinformation.', '']","['Anexampleofpsycholinguisticallyorientedresearchworkcanbefoundin #TAUTHOR_TAG.', 'Theseauthorstakethepositionthataparagraphisapsychologicallyrealunitofdiscourse,and,infact,aformalgrammaticalunit.', 'BondandHayesfoundthreemajorformaldevicesthatareused,byreaders,toidentifyaparagraph:therepetitionofcontentwords(nouns,verbs,adjectives,adverbs);(2)pronounreference;and(3)paragraphlength,asdeterminedbyspatialand/orsentence-countinformation.', '']","['Anexampleofpsycholinguisticallyorientedresearchworkcanbefoundin #TAUTHOR_TAG.', 'Theseauthorstakethepositionthataparagraphisapsychologicallyrealunitofdiscourse,and,infact,aformalgrammaticalunit.', 'BondandHayesfoundthreemajorformaldevicesthatareused,byreaders,toidentifyaparagraph:)therepetitionofcontentwords(nouns,verbs,adjectives,adverbs);(2)pronounreference;and(3)paragraphlength,asdeterminedbyspatialand/orsentence-countinformation.', '']","['Anexampleofpsycholinguisticallyorientedresearchworkcanbefoundin #TAUTHOR_TAG.', 'Theseauthorstakethepositionthataparagraphisapsychologicallyrealunitofdiscourse,and,infact,aformalgrammaticalunit.', 'BondandHayesfoundthreemajorformaldevicesthatareused,byreaders,toidentifyaparagraph:(1)therepetitionofcontentwords(nouns,verbs,adjectives,adverbs);(2)pronounreference;and(3)paragraphlength,asdeterminedbyspatialand/orsentence-countinformation.', '']",0
"['neededtoidentifyandanaphoriccanthes', 'worldknowledge', 'Thistypeofconsultationusesexistingnaturallanguagetextsasareferentiallevelforprocessingpurposes.', 'Itisthelackofexactlythisnotionofreferentiallevelthathasstoodinthewayofotherlinguistswhohavebeeninterestedintheparagraphasaunit.', "" #TAUTHOR_TAG,p.112),forexample,bemoansthefactthathis``theorylacksaworldknowledgecomponent,amental`encyclopedia,'whichcouldbeinvokedtogenerateinferences...''."", '', '', '', '']","['neededtoidentifyandanaphoriccan', 'worldknowledge.)', 'Thistypeofconsultationusesexistingnaturallanguagetextsasareferentiallevelforprocessingpurposes.', 'Itisthelackofexactlythisnotionofreferentiallevelthathasstoodinthewayofotherlinguistswhohavebeeninterestedintheparagraphasaunit.', "" #TAUTHOR_TAG,p.112),forexample,bemoansthefactthathis``theorylacksaworldknowledgecomponent,amental`encyclopedia,'whichcouldbeinvokedtogenerateinferences...''."", '', '', '', '']","['neededtoidentifyandanaphoricreferencesthes', 'worldknowledge.)', 'Thistypeofconsultationusesexistingnaturallanguagetextsasareferentiallevelforprocessingpurposes.', 'Itisthelackofexactlythisnotionofreferentiallevelthathasstoodinthewayofotherlinguistswhohavebeeninterestedintheparagraphasaunit.', "" #TAUTHOR_TAG,p.112),forexample,bemoansthefactthathis``theorylacksaworldknowledgecomponent,amental`encyclopedia,'whichcouldbeinvokedtogenerateinferences...''."", '', '', '', '']","['', '', 'Thistypeofconsultationusesexistingnaturallanguagetextsasareferentiallevelforprocessingpurposes.', 'Itisthelackofexactlythisnotionofreferentiallevelthathasstoodinthewayofotherlinguistswhohavebeeninterestedintheparagraphasaunit.', "" #TAUTHOR_TAG,p.112),forexample,bemoansthefactthathis``theorylacksaworldknowledgecomponent,amental`encyclopedia,'whichcouldbeinvokedtogenerateinferences...''."", '', '', '', '']",0
