token_context,word_context,seg_context,sent_cotext,label
"['DOPmodels,suchasin #AUTHOR_TAG, #AUTHOR_TAG, #TAUTHOR_TAG, #AUTHOR_TAGand #AUTHOR_TAG,usealikelihoodcriterionindefiningthebestparsetree:theytake(somenotionof)themostlikely(i.e.', 'mostprobable)treeasacandidateforthebesttreeofasentence.', 'WewillrefertothesemodelsasLikelihood-DOPmodels,']","['DOPmodels,suchasin #AUTHOR_TAG, #AUTHOR_TAG, #TAUTHOR_TAG, #AUTHOR_TAGand #AUTHOR_TAG,usealikelihoodcriterionindefiningthebestparsetree:theytake(somenotionof)themostlikely(i.e.', 'mostprobable)treeasacandidateforthebesttreeofasentence.', 'WewillrefertothesemodelsasLikelihood-DOPmodels,']","['DOPmodels,suchasin #AUTHOR_TAG, #AUTHOR_TAG, #TAUTHOR_TAG, #AUTHOR_TAGand #AUTHOR_TAG,usealikelihoodcriterionindefiningthebestparsetree:theytake(somenotionof)themostlikely(i.e.', 'mostprobable)treeasacandidateforthebesttreeofasentence.', 'WewillrefertothesemodelsasLikelihood-DOPmodels,']","['DOPmodels,suchasin #AUTHOR_TAG, #AUTHOR_TAG, #TAUTHOR_TAG, #AUTHOR_TAGand #AUTHOR_TAG,usealikelihoodcriterionindefiningthebestparsetree:theytake(somenotionof)themostlikely(i.e.', 'mostprobable)treeasacandidateforthebesttreeofasentence.', '']",0
"['', 'Table1givestheresultsoftheseexperimentsandcomparesthemwithsomeotherstatisticalparsers(resp.', 'Collins1996,Charniak1997,Collins1999and #TAUTHOR_TAG.', '']","['', 'Table1givestheresultsoftheseexperimentsandcomparesthemwithsomeotherstatisticalparsers(resp.', 'Collins1996,Charniak1997,Collins1999and #TAUTHOR_TAG.', '']","['', 'Table1givestheresultsoftheseexperimentsandcomparesthemwithsomeotherstatisticalparsers(resp.', 'Collins1996,Charniak1997,Collins1999and #TAUTHOR_TAG.', '']","['', 'Table1givestheresultsoftheseexperimentsandcomparesthemwithsomeotherstatisticalparsers(resp.', 'Collins1996,Charniak1997,Collins1999and #TAUTHOR_TAG.', '']",1
"['ourexperimentsweusedthestandarddivisionoftheWSJ #TAUTHOR_TAG,withsections2through21fortraining(approx.', '40,000sentences)andsection23fortesting(2416sentences100words);section22wasusedasdevelopmentset.', '']","['ourexperimentsweusedthestandarddivisionoftheWSJ #TAUTHOR_TAG,withsections2through21fortraining(approx.', '40,000sentences)andsection23fortesting(2416sentences100words);section22wasusedasdevelopmentset.', '']","['ourexperimentsweusedthestandarddivisionoftheWSJ #TAUTHOR_TAG,withsections2through21fortraining(approx.', '40,000sentences)andsection23fortesting(2416sentences100words);section22wasusedasdevelopmentset.', '']","['ourexperimentsweusedthestandarddivisionoftheWSJ #TAUTHOR_TAG,withsections2through21fortraining(approx.', '40,000sentences)andsection23fortesting(2416sentences100words);section22wasusedasdevelopmentset.', '']",5
"['', 'Table1givestheresultsoftheseexperimentsandcomparesthemwithsomeotherstatisticalparsers(resp.', ' #TAUTHOR_TAG,Charniak1997,Collins1999andCharniak2000).', '(1996).', '']","['', 'Table1givestheresultsoftheseexperimentsandcomparesthemwithsomeotherstatisticalparsers(resp.', ' #TAUTHOR_TAG,Charniak1997,Collins1999andCharniak2000).', '(1996).', '']","['', 'Table1givestheresultsoftheseexperimentsandcomparesthemwithsomeotherstatisticalparsers(resp.', ' #TAUTHOR_TAG,Charniak1997,Collins1999andCharniak2000).', '(1996).', '']","['', 'Table1givestheresultsoftheseexperimentsandcomparesthemwithsomeotherstatisticalparsers(resp.', ' #TAUTHOR_TAG,Charniak1997,Collins1999andCharniak2000).', '(1996).', '']",1
"['', ""ButwhileBod'sestimatorobtainsstate-of-the-artresultsontheWSJ,comparableto #TAUTHOR_TAGand #AUTHOR_TAG,Bonnemaetal.'sestimatorperformsworseandiscomparableto #AUTHOR_TAG""]","['', ""ButwhileBod'sestimatorobtainsstate-of-the-artresultsontheWSJ,comparableto #TAUTHOR_TAGand #AUTHOR_TAG,Bonnemaetal.'sestimatorperformsworseandiscomparableto #AUTHOR_TAG""]","['', ""ButwhileBod'sestimatorobtainsstate-of-the-artresultsontheWSJ,comparableto #TAUTHOR_TAGand #AUTHOR_TAG,Bonnemaetal.'sestimatorperformsworseandiscomparableto #AUTHOR_TAG""]","['', ""ButwhileBod'sestimatorobtainsstate-of-the-artresultsontheWSJ,comparableto #TAUTHOR_TAGand #AUTHOR_TAG,Bonnemaetal.'sestimatorperformsworseandiscomparableto #AUTHOR_TAG""]",0
"['ofincludingnonheadwordshasbecomeuncontroversial(e.g.', 'Collins1999;Charniak2000;Goodman1998).', ""And #TAUTHOR_TAGarguesfor``keepingtrackofcountsofarbitraryfragmentswithinparsetrees'',whichhasindeedbeencarriedoutin #AUTHOR_TAGwhouseexactlythesamesetof(all)treefragmentsasproposedin #AUTHOR_TAG""]","['thetree(Charniak1997;Johnson1998a).', 'Theimportanceofincludingnonheadwordshasbecomeuncontroversial(e.g.', 'Collins1999;Charniak2000;Goodman1998).', ""And #TAUTHOR_TAGarguesfor``keepingtrackofcountsofarbitraryfragmentswithinparsetrees'',whichhasindeedbeencarriedoutin #AUTHOR_TAGwhouseexactlythesamesetof(all)treefragmentsasproposedin #AUTHOR_TAG""]","['a).', 'Theimportanceofincludingnonheadwordshasbecomeuncontroversial(e.g.', 'Collins1999;Charniak2000;Goodman1998).', ""And #TAUTHOR_TAGarguesfor``keepingtrackofcountsofarbitraryfragmentswithinparsetrees'',whichhasindeedbeencarriedoutin #AUTHOR_TAGwhouseexactlythesamesetof(all)treefragmentsasproposedin #AUTHOR_TAG""]","['', 'Theimportanceofincludingnonheadwordshasbecomeuncontroversial(e.g.', 'Collins1999;Charniak2000;Goodman1998).', ""And #TAUTHOR_TAGarguesfor``keepingtrackofcountsofarbitraryfragmentswithinparsetrees'',whichhasindeedbeencarriedoutin #AUTHOR_TAGwhouseexactlythesamesetof(all)treefragmentsasproposedin #AUTHOR_TAG""]",0
"['DOPmodels,suchasin #AUTHOR_TAG, #AUTHOR_TAG, #AUTHOR_TAG, #AUTHOR_TAGand #TAUTHOR_TAG,usealikelihoodcriterionindefiningthebestparsetree:theytake(somenotionof)themostlikely(i.e.mostprobable)treeasacandidateforthebesttreeofasentence.', 'WewillrefertothesemodelsasLikelihood-DOPmodels,']","['DOPmodels,suchasin #AUTHOR_TAG, #AUTHOR_TAG, #AUTHOR_TAG, #AUTHOR_TAGand #TAUTHOR_TAG,usealikelihoodcriterionindefiningthebestparsetree:theytake(somenotionof)themostlikely(i.e.mostprobable)treeasacandidateforthebesttreeofasentence.', 'WewillrefertothesemodelsasLikelihood-DOPmodels,']","['DOPmodels,suchasin #AUTHOR_TAG, #AUTHOR_TAG, #AUTHOR_TAG, #AUTHOR_TAGand #TAUTHOR_TAG,usealikelihoodcriterionindefiningthebestparsetree:theytake(somenotionof)themostlikely(i.e.mostprobable)treeasacandidateforthebesttreeofasentence.', 'WewillrefertothesemodelsasLikelihood-DOPmodels,']","['DOPmodels,suchasin #AUTHOR_TAG, #AUTHOR_TAG, #AUTHOR_TAG, #AUTHOR_TAGand #TAUTHOR_TAG,usealikelihoodcriterionindefiningthebestparsetree:theytake(somenotionof)themostlikely(i.e.mostprobable)treeasacandidateforthebesttreeofasentence.', '']",0
"['DOPmodels,suchasin #AUTHOR_TAG, #TAUTHOR_TAG, #AUTHOR_TAG, #AUTHOR_TAGand #AUTHOR_TAG,usealikelihoodcriterionindefiningthebestparsetree:theytake(somenotionof)themostlikely(i.e.', 'mostprobable)treeasacandidateforthebesttreeofasentence.', 'WewillrefertothesemodelsasLikelihood-DOPmodels,']","['DOPmodels,suchasin #AUTHOR_TAG, #TAUTHOR_TAG, #AUTHOR_TAG, #AUTHOR_TAGand #AUTHOR_TAG,usealikelihoodcriterionindefiningthebestparsetree:theytake(somenotionof)themostlikely(i.e.', 'mostprobable)treeasacandidateforthebesttreeofasentence.', 'WewillrefertothesemodelsasLikelihood-DOPmodels,']","['DOPmodels,suchasin #AUTHOR_TAG, #TAUTHOR_TAG, #AUTHOR_TAG, #AUTHOR_TAGand #AUTHOR_TAG,usealikelihoodcriterionindefiningthebestparsetree:theytake(somenotionof)themostlikely(i.e.', 'mostprobable)treeasacandidateforthebesttreeofasentence.', 'WewillrefertothesemodelsasLikelihood-DOPmodels,']","['DOPmodels,suchasin #AUTHOR_TAG, #TAUTHOR_TAG, #AUTHOR_TAG, #AUTHOR_TAGand #AUTHOR_TAG,usealikelihoodcriterionindefiningthebestparsetree:theytake(somenotionof)themostlikely(i.e.', 'mostprobable)treeasacandidateforthebesttreeofasentence.', '']",0
"['DOPmodels,suchasin #AUTHOR_TAG, #AUTHOR_TAG, #AUTHOR_TAG, #TAUTHOR_TAGand #AUTHOR_TAG,usealikelihoodcriterionindefiningthebestparsetree:theytake(somenotionof)themostlikely(i.e.mostprobable)treeasacandidateforthebesttreeofasentence.', 'WewillrefertothesemodelsasLikelihood-DOPmodels,']","['DOPmodels,suchasin #AUTHOR_TAG, #AUTHOR_TAG, #AUTHOR_TAG, #TAUTHOR_TAGand #AUTHOR_TAG,usealikelihoodcriterionindefiningthebestparsetree:theytake(somenotionof)themostlikely(i.e.mostprobable)treeasacandidateforthebesttreeofasentence.', 'WewillrefertothesemodelsasLikelihood-DOPmodels,']","['DOPmodels,suchasin #AUTHOR_TAG, #AUTHOR_TAG, #AUTHOR_TAG, #TAUTHOR_TAGand #AUTHOR_TAG,usealikelihoodcriterionindefiningthebestparsetree:theytake(somenotionof)themostlikely(i.e.mostprobable)treeasacandidateforthebesttreeofasentence.', 'WewillrefertothesemodelsasLikelihood-DOPmodels,']","['DOPmodels,suchasin #AUTHOR_TAG, #AUTHOR_TAG, #AUTHOR_TAG, #TAUTHOR_TAGand #AUTHOR_TAG,usealikelihoodcriterionindefiningthebestparsetree:theytake(somenotionof)themostlikely(i.e.mostprobable)treeasacandidateforthebesttreeofasentence.', '']",0
"['.', 'Fortunately,thereexistsacompactPCFG-reductionofDOP1thatgeneratesthesametreeswiththesameprobabilities,asshownby #TAUTHOR_TAG,2002).', '']","['account.', 'Fortunately,thereexistsacompactPCFG-reductionofDOP1thatgeneratesthesametreeswiththesameprobabilities,asshownby #TAUTHOR_TAG,2002).', '']","['.', 'Fortunately,thereexistsacompactPCFG-reductionofDOP1thatgeneratesthesametreeswiththesameprobabilities,asshownby #TAUTHOR_TAG,2002).', '']","['', 'Fortunately,thereexistsacompactPCFG-reductionofDOP1thatgeneratesthesametreeswiththesameprobabilities,asshownby #TAUTHOR_TAG,2002).', '']",0
"['agrammar.', 'Thisapproachhasnowgainedwideusage,asexemplifiedbytheworkof #TAUTHOR_TAG,1999), #AUTHOR_TAG,1997), #AUTHOR_TAG, #AUTHOR_TAG,andmanyothers']","['agrammar.', 'Thisapproachhasnowgainedwideusage,asexemplifiedbytheworkof #TAUTHOR_TAG,1999), #AUTHOR_TAG,1997), #AUTHOR_TAG, #AUTHOR_TAG,andmanyothers']","['agrammar.', 'Thisapproachhasnowgainedwideusage,asexemplifiedbytheworkof #TAUTHOR_TAG,1999), #AUTHOR_TAG,1997), #AUTHOR_TAG, #AUTHOR_TAG,andmanyothers']","['', 'Thisapproachhasnowgainedwideusage,asexemplifiedbytheworkof #TAUTHOR_TAG,1999), #AUTHOR_TAG,1997), #AUTHOR_TAG, #AUTHOR_TAG,andmanyothers']",4
"['a).', 'Theimportanceofincludingnonheadwordshasbecomeuncontroversial(e.g.Collins1999; #TAUTHOR_TAG;Goodman1998).', ' #AUTHOR_TAG']","['thetree(Charniak1997;Johnson1998a).', 'Theimportanceofincludingnonheadwordshasbecomeuncontroversial(e.g.Collins1999; #TAUTHOR_TAG;Goodman1998).', ' #AUTHOR_TAG']","['7;Johnson1998a).', 'Theimportanceofincludingnonheadwordshasbecomeuncontroversial(e.g.Collins1999; #TAUTHOR_TAG;Goodman1998).', '']","['', 'Theimportanceofincludingnonheadwordshasbecomeuncontroversial(e.g.Collins1999; #TAUTHOR_TAG;Goodman1998).', '']",0
"['', 'Collins1999;Charniak2000;Goodman1998).', "" #AUTHOR_TAGarguesfor``keepingtrackofcountsofarbitraryfragmentswithinparsetrees'',whichhasindeedbeencarriedoutin #TAUTHOR_TAGwhouseexactlythesamesetof(all)treefragmentsasproposedin #AUTHOR_TAG""]","['', 'Collins1999;Charniak2000;Goodman1998).', "" #AUTHOR_TAGarguesfor``keepingtrackofcountsofarbitraryfragmentswithinparsetrees'',whichhasindeedbeencarriedoutin #TAUTHOR_TAGwhouseexactlythesamesetof(all)treefragmentsasproposedin #AUTHOR_TAG""]","['', 'Collins1999;Charniak2000;Goodman1998).', "" #AUTHOR_TAGarguesfor``keepingtrackofcountsofarbitraryfragmentswithinparsetrees'',whichhasindeedbeencarriedoutin #TAUTHOR_TAGwhouseexactlythesamesetof(all)treefragmentsasproposedin #AUTHOR_TAG""]","['', 'Theimportanceofincludingnonheadwordshasbecomeuncontroversial(e.g.', 'Collins1999;Charniak2000;Goodman1998).', "" #AUTHOR_TAGarguesfor``keepingtrackofcountsofarbitraryfragmentswithinparsetrees'',whichhasindeedbeencarriedoutin #TAUTHOR_TAGwhouseexactlythesamesetof(all)treefragmentsasproposedin #AUTHOR_TAG""]",4
"['manthenshowsbysimpleinductionthatsubderivationsheadedbyAwithexternalnonterminalsattherootsandleaves,internalnonterminalselsewherehaveprobability1/a.', 'AndsubderivationsheadedbyA1withexternalnonterminalsonlyattheleaves,internalnonterminalselsewhere,haveprobability1/a1 #TAUTHOR_TAG.', ""Goodman'smaintheoremisthatthisconstructionproducesPCFGderivationsisomorphictoDOPderivationswithequalprobability."", 'Thismeansthatsum']","['manthenshowsbysimpleinductionthatsubderivationsheadedbyAwithexternalnonterminalsattherootsandleaves,internalnonterminalselsewherehaveprobability1/a.', 'AndsubderivationsheadedbyA1withexternalnonterminalsonlyattheleaves,internalnonterminalselsewhere,haveprobability1/a1 #TAUTHOR_TAG.', ""Goodman'smaintheoremisthatthisconstructionproducesPCFGderivationsisomorphictoDOPderivationswithequalprobability."", 'Thismeansthatsummingupoverderivationsofa']","['manthenshowsbysimpleinductionthatsubderivationsheadedbyAwithexternalnonterminalsattherootsandleaves,internalnonterminalselsewherehaveprobability1/a.', 'AndsubderivationsheadedbyA1withexternalnonterminalsonlyattheleaves,internalnonterminalselsewhere,haveprobability1/a1 #TAUTHOR_TAG.', ""Goodman'smaintheoremisthatthisconstructionproducesPCFGderivationsisomorphictoDOPderivationswithequalprobability."", 'Thismeansthatsummingupoverderivationsofatree']","['manthenshowsbysimpleinductionthatsubderivationsheadedbyAwithexternalnonterminalsattherootsandleaves,internalnonterminalselsewherehaveprobability1/a.', 'AndsubderivationsheadedbyA1withexternalnonterminalsonlyattheleaves,internalnonterminalselsewhere,haveprobability1/a1 #TAUTHOR_TAG.', ""Goodman'smaintheoremisthatthisconstructionproducesPCFGderivationsisomorphictoDOPderivationswithequalprobability."", '']",0
"['computingtheparsetreegeneratedbythemostprobablederivation,whichinsomecasesisareasonableapproximationofthemostprobableparse.', ' #TAUTHOR_TAG,1998)developedapolynomialtimePCFG-reductionofDOP1whosesizeislinearinthesizeofthetrainingset,thusconvertingtheexponentialnumberofsubtreestoacompactgrammar.', 'WhileGoodman\'smethoddoesstillnotallowforanefficientcomputationofthemostprobableparseinDOP1,itdoesefficientlycomputethe""maximumconstituentsparse"",i.e.theparsetreewhichismostlikelytohavethelargestnumberofcorrectconstituents.', '']","['computingtheparsetreegeneratedbythemostprobablederivation,whichinsomecasesisareasonableapproximationofthemostprobableparse.', ' #TAUTHOR_TAG,1998)developedapolynomialtimePCFG-reductionofDOP1whosesizeislinearinthesizeofthetrainingset,thusconvertingtheexponentialnumberofsubtreestoacompactgrammar.', 'WhileGoodman\'smethoddoesstillnotallowforanefficientcomputationofthemostprobableparseinDOP1,itdoesefficientlycomputethe""maximumconstituentsparse"",i.e.theparsetreewhichismostlikelytohavethelargestnumberofcorrectconstituents.', '']","['computingtheparsetreegeneratedbythemostprobablederivation,whichinsomecasesisareasonableapproximationofthemostprobableparse.', ' #TAUTHOR_TAG,1998)developedapolynomialtimePCFG-reductionofDOP1whosesizeislinearinthesizeofthetrainingset,thusconvertingtheexponentialnumberofsubtreestoacompactgrammar.', 'WhileGoodman\'smethoddoesstillnotallowforanefficientcomputationofthemostprobableparseinDOP1,itdoesefficientlycomputethe""maximumconstituentsparse"",i.e.theparsetreewhichismostlikelytohavethelargestnumberofcorrectconstituents.', '']","['', ' #AUTHOR_TAGgaveanefficientalgorithmforcomputingtheparsetreegeneratedbythemostprobablederivation,whichinsomecasesisareasonableapproximationofthemostprobableparse.', ' #TAUTHOR_TAG,1998)developedapolynomialtimePCFG-reductionofDOP1whosesizeislinearinthesizeofthetrainingset,thusconvertingtheexponentialnumberofsubtreestoacompactgrammar.', 'WhileGoodman\'smethoddoesstillnotallowforanefficientcomputationofthemostprobableparseinDOP1,itdoesefficientlycomputethe""maximumconstituentsparse"",i.e.theparsetreewhichismostlikelytohavethelargestnumberofcorrectconstituents.', '']",0
"['', 'OurMosessystemsusedefaultsettings.', 'TheLMusesthemonolingualdataandistrainedasafive-gram9usingtheSRILM-Toolkit #TAUTHOR_TAG.', '']","['', 'OurMosessystemsusedefaultsettings.', 'TheLMusesthemonolingualdataandistrainedasafive-gram9usingtheSRILM-Toolkit #TAUTHOR_TAG.', '']","['', 'OurMosessystemsusedefaultsettings.', 'TheLMusesthemonolingualdataandistrainedasafive-gram9usingtheSRILM-Toolkit #TAUTHOR_TAG.', '']","['', 'OurMosessystemsusedefaultsettings.', 'TheLMusesthemonolingualdataandistrainedasafive-gram9usingtheSRILM-Toolkit #TAUTHOR_TAG.', '']",5
"['', 'Followingtheworkof #TAUTHOR_TAG,weimplementalinear-chainCRFmergingsystemusingthefollowingfeatures:stemmed(separated)surfaceform,part-of-speech14andfrequenciesfromthetrainingcorpusforbigrams/mergingofwordandword+1,wordastrueprefix,word+1astruesuffix,plusfrequencycomparisonsofthese.', 'TheCRF']","['', 'Followingtheworkof #TAUTHOR_TAG,weimplementalinear-chainCRFmergingsystemusingthefollowingfeatures:stemmed(separated)surfaceform,part-of-speech14andfrequenciesfromthetrainingcorpusforbigrams/mergingofwordandword+1,wordastrueprefix,word+1astruesuffix,plusfrequencycomparisonsofthese.', 'TheCRF']","['', 'Followingtheworkof #TAUTHOR_TAG,weimplementalinear-chainCRFmergingsystemusingthefollowingfeatures:stemmed(separated)surfaceform,part-of-speech14andfrequenciesfromthetrainingcorpusforbigrams/mergingofwordandword+1,wordastrueprefix,word+1astruesuffix,plusfrequencycomparisonsofthese.', 'TheCRFistrained']","['', 'Followingtheworkof #TAUTHOR_TAG,weimplementalinear-chainCRFmergingsystemusingthefollowingfeatures:stemmed(separated)surfaceform,part-of-speech14andfrequenciesfromthetrainingcorpusforbigrams/mergingofwordandword+1,wordastrueprefix,word+1astruesuffix,plusfrequencycomparisonsofthese.', 'TheCRFistrainedonthesplitmonolingualdata.', '']",5
"['compoundsplitting,wefollow #TAUTHOR_TAG,usinglinguisticknowledgeencodedinarule-basedmorphologicalanalyserandthenselectingthebestanalysisbasedonthegeometricmeanofwordpartfrequencies.', '']","['compoundsplitting,wefollow #TAUTHOR_TAG,usinglinguisticknowledgeencodedinarule-basedmorphologicalanalyserandthenselectingthebestanalysisbasedonthegeometricmeanofwordpartfrequencies.', '']","['compoundsplitting,wefollow #TAUTHOR_TAG,usinglinguisticknowledgeencodedinarule-basedmorphologicalanalyserandthenselectingthebestanalysisbasedonthegeometricmeanofwordpartfrequencies.', '']","['compoundsplitting,wefollow #TAUTHOR_TAG,usinglinguisticknowledgeencodedinarule-basedmorphologicalanalyserandthenselectingthebestanalysisbasedonthegeometricmeanofwordpartfrequencies.', '']",5
"['useanadditionaltargetfactortoobtainthecoarsePOSforeachstem,applyinga7-gramPOSmodel.', ' #TAUTHOR_TAGshowedthattheuseofaPOSfactoronlyresultsinnegligibleBLEUimprovements,butweneedaccesstothePOSinourinflectionpredictionmodels']","['useanadditionaltargetfactortoobtainthecoarsePOSforeachstem,applyinga7-gramPOSmodel.', ' #TAUTHOR_TAGshowedthattheuseofaPOSfactoronlyresultsinnegligibleBLEUimprovements,butweneedaccesstothePOSinourinflectionpredictionmodels']","['useanadditionaltargetfactortoobtainthecoarsePOSforeachstem,applyinga7-gramPOSmodel.', ' #TAUTHOR_TAGshowedthattheuseofaPOSfactoronlyresultsinnegligibleBLEUimprovements,butweneedaccesstothePOSinourinflectionpredictionmodels']","['useanadditionaltargetfactortoobtainthecoarsePOSforeachstem,applyinga7-gramPOSmodel.', ' #TAUTHOR_TAGshowedthattheuseofaPOSfactoronlyresultsinnegligibleBLEUimprovements,butweneedaccesstothePOSinourinflectionpredictionmodels']",0
"['', 'Wefollow #TAUTHOR_TAG,forcompoundmerging.', 'Wetrained']","['', 'Wefollow #TAUTHOR_TAG,forcompoundmerging.', 'Wetrained']","['', 'Wefollow #TAUTHOR_TAG,forcompoundmerging.', 'Wetrained']","['', 'Wefollow #TAUTHOR_TAG,forcompoundmerging.', 'WetrainedaCRFusing(nearlyall)ofthefeaturestheyusedandfoundtheirapproachtobeeffective(whencombinedwithinflectionandportmanteaumerg-ing)ononeofourtwotestsets']",5
"['triedtosolvetheinflectionpredictionproblembysimplybuildinganSMTsystemfortranslatingfromstemstoinflectedforms.', ' #TAUTHOR_TAGimprovedonthisbymarkingprepositionswiththecasetheymark(oneofthemostimportantmarkupsinoursystem).', '']","['triedtosolvetheinflectionpredictionproblembysimplybuildinganSMTsystemfortranslatingfromstemstoinflectedforms.', ' #TAUTHOR_TAGimprovedonthisbymarkingprepositionswiththecasetheymark(oneofthemostimportantmarkupsinoursystem).', '']","['triedtosolvetheinflectionpredictionproblembysimplybuildinganSMTsystemfortranslatingfromstemstoinflectedforms.', ' #TAUTHOR_TAGimprovedonthisbymarkingprepositionswiththecasetheymark(oneofthemostimportantmarkupsinoursystem).', '']","['', ' #AUTHOR_TAGtriedtosolvetheinflectionpredictionproblembysimplybuildinganSMTsystemfortranslatingfromstemstoinflectedforms.', ' #TAUTHOR_TAGimprovedonthisbymarkingprepositionswiththecasetheymark(oneofthemostimportantmarkupsinoursystem).', 'Botheffortswereineffectiveonlargedatasets.', '']",1
"['selectingthebestanalysisbasedonthegeometricmeanofwordpartfrequencies.', 'Otherapproachesuselessdeeplinguisticresources(e.g.,PO #AUTHOR_TAG)orare(almost)knowledge-free(e.g., #TAUTHOR_TAG.', 'Compoundmergingislesswellstudied.', '']","['selectingthebestanalysisbasedonthegeometricmeanofwordpartfrequencies.', 'Otherapproachesuselessdeeplinguisticresources(e.g.,PO #AUTHOR_TAG)orare(almost)knowledge-free(e.g., #TAUTHOR_TAG.', 'Compoundmergingislesswellstudied.', '']","['thenselectingthebestanalysisbasedonthegeometricmeanofwordpartfrequencies.', 'Otherapproachesuselessdeeplinguisticresources(e.g.,PO #AUTHOR_TAG)orare(almost)knowledge-free(e.g., #TAUTHOR_TAG.', 'Compoundmergingislesswellstudied.', '']","['', 'Otherapproachesuselessdeeplinguisticresources(e.g.,PO #AUTHOR_TAG)orare(almost)knowledge-free(e.g., #TAUTHOR_TAG.', 'Compoundmergingislesswellstudied.', '']",1
"['effortswereineffectiveonlargedatasets.', ' #TAUTHOR_TAGusedunificationinanSMTsystemtomodelsomeoftheagreementphenomenathatwemodel.', '']","['effortswereineffectiveonlargedatasets.', ' #TAUTHOR_TAGusedunificationinanSMTsystemtomodelsomeoftheagreementphenomenathatwemodel.', '']","['withthecasetheymark(oneofthemostimportantmarkupsinoursystem).', 'Botheffortswereineffectiveonlargedatasets.', ' #TAUTHOR_TAGusedunificationinanSMTsystemtomodelsomeoftheagreementphenomenathatwemodel.', '']","['', ' #AUTHOR_TAGimprovedonthisbymarkingprepositionswiththecasetheymark(oneofthemostimportantmarkupsinoursystem).', 'Botheffortswereineffectiveonlargedatasets.', ' #TAUTHOR_TAGusedunificationinanSMTsystemtomodelsomeoftheagreementphenomenathatwemodel.', '']",1
"['keylinguisticknowledgesourcesthatweusearemorphologicalanalysisandgenerationofGermanbasedonSMOR,amorphologicalanalyzer/generatorofGerman #AUTHOR_TAGandtheBitParparser,whichisastate-of-the-artparserofGerman #TAUTHOR_TAG']","['keylinguisticknowledgesourcesthatweusearemorphologicalanalysisandgenerationofGermanbasedonSMOR,amorphologicalanalyzer/generatorofGerman #AUTHOR_TAGandtheBitParparser,whichisastate-of-the-artparserofGerman #TAUTHOR_TAG']","['keylinguisticknowledgesourcesthatweusearemorphologicalanalysisandgenerationofGermanbasedonSMOR,amorphologicalanalyzer/generatorofGerman #AUTHOR_TAGandtheBitParparser,whichisastate-of-the-artparserofGerman #TAUTHOR_TAG']","['keylinguisticknowledgesourcesthatweusearemorphologicalanalysisandgenerationofGermanbasedonSMOR,amorphologicalanalyzer/generatorofGerman #AUTHOR_TAGandtheBitParparser,whichisastate-of-the-artparserofGerman #TAUTHOR_TAG']",5
"['preparethetrainingdatabysplittingcompoundsintwosteps,followingthetechniqueof #TAUTHOR_TAG.', 'First,possiblesplitpointsareextractedusingSMOR,andsecond,thebestsplitpointsareselectedusingthegeometricmeanofwordpartfrequencies.', 'Trainingdataisthenstemmedasdes']","['preparethetrainingdatabysplittingcompoundsintwosteps,followingthetechniqueof #TAUTHOR_TAG.', 'First,possiblesplitpointsareextractedusingSMOR,andsecond,thebestsplitpointsareselectedusingthegeometricmeanofwordpartfrequencies.', 'TrainingdataisthenstemmedasdescribedinSection2.3.', 'Theformerlymodifyingwordsofthecompound(inour']","['preparethetrainingdatabysplittingcompoundsintwosteps,followingthetechniqueof #TAUTHOR_TAG.', 'First,possiblesplitpointsareextractedusingSMOR,andsecond,thebestsplitpointsareselectedusingthegeometricmeanofwordpartfrequencies.', 'Trainingdataisthenstemmedasdes']","['preparethetrainingdatabysplittingcompoundsintwosteps,followingthetechniqueof #TAUTHOR_TAG.', 'First,possiblesplitpointsareextractedusingSMOR,andsecond,thebestsplitpointsareselectedusingthegeometricmeanofwordpartfrequencies.', 'TrainingdataisthenstemmedasdescribedinSection2.3.', 'Theformerlymodifyingwordsofthecompound(inourexamplethewordstotheleftoftherightmostword)donothaveastemmarkupassigned,exceptfortwocases:i)theyarenounsthemselvesorii)theyareparticlesseparatedfromaverb.', '']",5
